素材id,消耗,平均千次展现费用(元),点击率(%),3秒播放率,25%进度播放率,视频形式,是否真人出镜,性别,人物形象,bgm类型,场景,绿幕置景,道具,是否带前贴,前贴形式,前贴音效,前贴BGM,前3s演员演绎方式,片尾链路,片尾引导方式,片尾画面
7226909811329429504,32576.32,199.29,1.31,28.47,18.41,采访,是,男,商务装,紧张,老板办公室（办公桌、电脑）,无,笔记本,否,,,,夸张提问,开户,紧迫感引导,APP图标
7257355859137980416,29033.09,41.25,0.4,19.84,11.9,采访,是,男,商务装,明快,老板办公室（办公桌、电脑）,无,无,否,,,,无,企微,其他,APP图标
7226557363464500224,6986.26,68.11,3.65,84.44,81.51,口播+混剪,是,女,商务装,明快,休息区（沙发、矮桌）,无,无,是,股市相关（K线、金钱）,男声配音,简单旋律,夸张提问,开户,开户便捷、快、线上,真人口播画面
7237345772449999872,4252.18,146.03,3.34,21.48,22.43,口播+混剪,是,男,休闲装,明快,居家（客厅、厨房、卧室）,无,无,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7231817546017349632,4181.26,118.28,4.51,83.54,80.17,采访,是,女,商务装,舒缓,居家（客厅、厨房、卧室）,无,无,是,股市相关（K线、金钱）,真人女声,音效,正式口播,通用,开户有优惠、服务好,真人口播画面
7254766853633009664,3335.7,284.74,1.03,15.67,7.97,口播+混剪,是,女,商务装,舒缓,办公区,无,无,是,红底花字无特效,女声配音,简单旋律,正式口播,开户,开户便捷、快、线上,真人口播画面
7226909649055819776,2573.17,96.9,1.96,58.4,43.94,剧情,是,N男N女,商务装,紧张,街景,无,无,否,,,,夸张提问,开户,开户有优惠、服务好,APP图标
7262220479229670400,1345.55,195.26,1.2,18.65,16.41,口播+混剪,是,女,商务装,明快,居家（客厅、厨房、卧室）,无,无,否,,,,夸张提问,开户,开户有优惠、服务好,真人口播画面
7226909819478110208,1187.78,45.32,1.91,79.53,70.43,剧情+混剪,是,女,商务装,舒缓,办公区,其他,笔记本,否,,,,正式口播,开户,心灵鸡汤,APP图标
7257355842549529600,1179.17,67.83,1.74,33.07,17.83,采访,是,女,商务装,明快,休息区（沙发、矮桌）,无,书本,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7226909652008500224,1030.22,87.03,1.73,46.91,40.53,口播+混剪,是,女,商务装,紧张,办公区,无,茶杯,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7234333303754680320,5896.41,111.38,4.0,76.25,70.04,鬼畜（猫狗、RAP、跳舞等）,否,,,,居家（客厅、厨房、卧室）,无,无,是,黑底花字无特效,男声配音,抖音热歌,无,开户,开户便捷、快、线上,APP图标
7241519368663440384,3171.38,81.24,4.39,64.13,62.13,采访,是,N男N女,休闲装,舒缓,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7232012595603369984,2933.09,40.07,2.11,49.06,41.64,采访,是,女,商务装,明快,休息区（沙发、矮桌）,无,无,是,商业楼宇,男声配音,音效,正式口播,开户,开户有优惠、服务好,开户界面
7241518426526759936,2604.6,86.75,3.88,81.09,76.01,剧情,是,N男N女,休闲装,明快,办公区,无,无,是,黑底花字无特效,男声配音,无BGM,正式口播,开户,开户有优惠、服务好,开户界面
7234333743271230464,2479.06,91.42,5.42,72.51,67.63,剧情,是,女,休闲装,舒缓,休息区（沙发、矮桌）,无,无,是,黑底花字无特效,女声配音,音效,正式口播,开户,开户便捷、快、线上,APP图标
7234333329561660416,2130.95,89.88,3.68,58.1,52.2,采访,是,男,休闲装,明快,街景,无,无,是,红底花字蹦跳元素,女声配音,,夸张提问,开户,开户便捷、快、线上,APP图标
7259331955555840000,1726.38,506.72,1.06,30.93,19.07,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,正式口播,通用,开户便捷、快、线上,APP图标
7244010094547460096,1200.91,276.13,2.78,36.74,32.8,口播+混剪,是,女,休闲装,明快,居家（客厅、厨房、卧室）,无,书本,否,,,,正式口播,企微,开户有优惠、服务好,开户界面
7260813716836559872,1178.38,733.74,2.24,28.45,23.36,口播+混剪,是,女,休闲装,明快,居家（客厅、厨房、卧室）,无,书本,是,红底花字蹦跳元素,女声配音,音效,正式口播,通用,开户便捷、快、线上,APP图标
7241519386632009728,9174.22,27.76,10.04,49.83,35.39,口播+混剪,是,女,休闲装,明快,办公楼下,无,无,否,,,,夸张提问,通用,紧迫感话术,开户界面
7241518430552980480,2989.32,28.14,7.16,40.31,27.12,口播+混剪,是,女,休闲装,明快,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7223658664845979648,2449.02,88.45,1.87,44.72,34.36,剧情,是,女,休闲装,舒缓,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,APP图标
7259600888683540480,1766.3,123.3,0.96,25.85,16.31,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,夸张提问,企微,其他,真人口播画面
7259977157429080064,1528.39,500.46,3.08,29.26,16.9,采访,是,女,商务装,舒缓,街景,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7262185895716830208,1485.19,94.2,2.7,3.24,6.48,采访,是,女,商务装,舒缓,居家（客厅、厨房、卧室）,无,无,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7260803090555070464,1336.65,78.38,0.81,34.93,18.53,鬼畜（猫狗、RAP、跳舞等）,是,女,休闲装,明快,绿幕,无,无,否,,,,正式口播,通用,开户便捷、快、线上,APP图标
7223658651895069696,1334.62,1.84,3.93,96.57,96.24,采访,是,女,商务装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,开户,开户有优惠、服务好,APP图标
7260797952208600064,1017.44,200.64,1.12,23.65,14.75,"口播,采访",是,女,休闲装,明快,休息区（沙发、矮桌）,无,无,否,,,,正式口播,企微,开户有优惠、服务好,开户界面
7234333303754680320,5896.41,111.38,4.0,76.25,70.04,鬼畜（猫狗、RAP、跳舞等）,否,,,,居家（客厅、厨房、卧室）,无,无,是,黑底花字无特效,男声配音,抖音热歌,无,开户,开户便捷、快、线上,APP图标
7252895716175389696,1118.36,138.38,0.89,28.16,12.26,口播,否,无,,电子音乐（节奏感）,绿幕,其他,无,是,黑底花字无特效,女声配音,抖音热歌,正式口播,开户,开户有优惠、服务好,开户界面
7226909811329429504,32576.32,199.29,1.31,28.47,18.41,采访,是,男,商务装,紧张,老板办公室（办公桌、电脑）,无,笔记本,否,,,,夸张提问,开户,紧迫感引导,APP图标
7257355859137980416,29033.09,41.25,0.4,19.84,11.9,采访,是,男,商务装,明快,老板办公室（办公桌、电脑）,无,无,否,,,,无,企微,其他,APP图标
7239931977084010496,8311.58,205.75,3.17,16.71,17.17,口播,是,男,商务装,舒缓,茶室,无,笔记本,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7237345772449999872,4252.18,146.03,3.34,21.48,22.43,口播+混剪,是,男,休闲装,明快,居家（客厅、厨房、卧室）,无,无,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7237345840619809792,2592.44,154.45,2.65,40.56,39.42,口播,是,男,商务装,明快,办公区,无,笔记本,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7226909649055819776,2573.17,96.9,1.96,58.4,43.94,剧情,是,N男N女,商务装,紧张,街景,无,无,否,,,,夸张提问,开户,开户有优惠、服务好,APP图标
7246686064852429824,2245.68,136.52,1.99,21.41,11.84,口播,是,男,商务装,激昂,茶室,无,无,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7250041022876560384,2054.73,108.32,1.01,17.71,9.92,口播,是,男,商务装,明快,茶室,无,其他,否,,,,正式口播,通用,其他,真人口播画面
7239931963082930176,1548.76,121.38,2.81,55.12,47.9,口播,是,男,商务装,舒缓,茶室,无,茶杯,是,黑底花字无特效,女声配音,简单旋律,正式口播,开户,开户有优惠、服务好,真人口播画面
7239931991567150080,1405.59,171.25,3.14,27.42,31.94,口播,是,男,商务装,激昂,茶室,无,茶杯,是,黑底花字无特效,真人男声,简单旋律,正式口播,通用,开户有优惠、服务好,真人口播画面
7234333303754680320,5896.41,111.38,4.0,76.25,70.04,鬼畜（猫狗、RAP、跳舞等）,否,,,,居家（客厅、厨房、卧室）,无,无,是,黑底花字无特效,男声配音,抖音热歌,无,开户,开户便捷、快、线上,APP图标
7229169454613159936,3338.45,98.44,1.96,55.36,46.11,口播,是,男,休闲装,明快,走廊,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7241519368663440384,3171.38,81.24,4.39,64.13,62.13,采访,是,N男N女,休闲装,舒缓,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7241518426526759936,2604.6,86.75,3.88,81.09,76.01,剧情,是,N男N女,休闲装,明快,办公区,无,无,是,黑底花字无特效,男声配音,无BGM,正式口播,开户,开户有优惠、服务好,开户界面
7234333329561660416,2130.95,89.88,3.68,58.1,52.2,采访,是,男,休闲装,明快,街景,无,无,是,红底花字蹦跳元素,女声配音,,夸张提问,开户,开户便捷、快、线上,APP图标
7259331955555840000,1726.38,506.72,1.06,30.93,19.07,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,正式口播,通用,开户便捷、快、线上,APP图标
7230636144063609856,1264.71,49.1,3.7,60.05,58.6,口播,是,男,商务装,电子音乐（节奏感）,商场,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7226682708809719808,15644.19,87.54,7.94,61.36,56.79,口播,是,男,商务装,明快,办公楼下,无,无,是,红底花字蹦跳元素,女声配音,简单旋律,正式口播,开户,开户有优惠、服务好,APP图标
7226682715597009920,11499.94,57.34,7.52,81.88,83.41,口播,是,男,商务装,明快,办公楼下,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7259600888683540480,1766.3,123.3,0.96,25.85,16.31,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,夸张提问,企微,其他,真人口播画面
7230639151207430144,1443.11,17.24,4.11,94.63,94.58,口播,是,男,休闲装,舒缓,街景,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7252895716175389696,1118.36,138.38,0.89,28.16,12.26,口播,否,无,,电子音乐（节奏感）,绿幕,其他,无,是,黑底花字无特效,女声配音,抖音热歌,正式口播,开户,开户有优惠、服务好,开户界面
7226909811329429504,32576.32,199.29,1.31,28.47,18.41,采访,是,男,商务装,紧张,老板办公室（办公桌、电脑）,无,笔记本,否,,,,夸张提问,开户,紧迫感引导,APP图标
7260325307524299776,17661.45,114.75,1.11,17.22,13.07,口播,是,女,商务装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,企微,其他,开户界面
7246686040210709504,12042.71,78.64,1.32,35.27,28.41,口播,是,女,休闲装,激昂,街景,无,无,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7246686051065900032,10143.85,224.97,1.63,24.28,14.24,口播,是,女,商务装,电子音乐（节奏感）,办公楼下,无,无,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7239931977084010496,8311.58,205.75,3.17,16.71,17.17,口播,是,男,商务装,舒缓,茶室,无,笔记本,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7250041016483999744,6967.43,372.57,3.97,26.92,24.66,口播,是,女,商务装,舒缓,老板办公室（办公桌、电脑）,无,笔记本,否,,,,正式口播,通用,心灵鸡汤,真人口播画面
7226558165232119808,4273.58,128.76,1.6,32.05,26.77,口播,是,女,商务装,激昂,老板办公室（办公桌、电脑）,无,笔记本,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7231817546017349632,4181.26,118.28,4.51,83.54,80.17,采访,是,女,商务装,舒缓,居家（客厅、厨房、卧室）,无,无,是,股市相关（K线、金钱）,真人女声,音效,正式口播,通用,开户有优惠、服务好,真人口播画面
7250041008696779776,3918.22,288.42,2.5,18.39,12.73,口播,是,女,休闲装,激昂,走廊,无,无,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7254766853633009664,3335.7,284.74,1.03,15.67,7.97,口播+混剪,是,女,商务装,舒缓,办公区,无,无,是,红底花字无特效,女声配音,简单旋律,正式口播,开户,开户便捷、快、线上,真人口播画面
7229150677267510272,3102.01,93.51,2.51,43.13,39.16,口播,是,女,商务装,激昂,休息区（沙发、矮桌）,无,无,否,,,,夸张提问,开户,开户有优惠、服务好,真人口播画面
7226909649055819776,2573.17,96.9,1.96,58.4,43.94,剧情,是,N男N女,商务装,紧张,街景,无,无,否,,,,夸张提问,开户,开户有优惠、服务好,APP图标
7246686064852429824,2245.68,136.52,1.99,21.41,11.84,口播,是,男,商务装,激昂,茶室,无,无,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7227033529901259776,1638.18,13.86,0.84,58.74,15.46,口播,是,女,休闲装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7239931963082930176,1548.76,121.38,2.81,55.12,47.9,口播,是,男,商务装,舒缓,茶室,无,茶杯,是,黑底花字无特效,女声配音,简单旋律,正式口播,开户,开户有优惠、服务好,真人口播画面
7239931991567150080,1405.59,171.25,3.14,27.42,31.94,口播,是,男,商务装,激昂,茶室,无,茶杯,是,黑底花字无特效,真人男声,简单旋律,正式口播,通用,开户有优惠、服务好,真人口播画面
7246686047677559808,1287.06,119.87,1.0,22.05,9.65,口播,是,女,商务装,激昂,茶室,无,无,否,,,,正式口播,开户,开户有优惠、服务好,真人口播画面
7226909819478110208,1187.78,45.32,1.91,79.53,70.43,剧情+混剪,是,女,商务装,舒缓,办公区,其他,笔记本,否,,,,正式口播,开户,心灵鸡汤,APP图标
7226909652008500224,1030.22,87.03,1.73,46.91,40.53,口播+混剪,是,女,商务装,紧张,办公区,无,茶杯,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7234333303754680320,5896.41,111.38,4.0,76.25,70.04,鬼畜（猫狗、RAP、跳舞等）,否,,,,居家（客厅、厨房、卧室）,无,无,是,黑底花字无特效,男声配音,抖音热歌,无,开户,开户便捷、快、线上,APP图标
7241519368663440384,3171.38,81.24,4.39,64.13,62.13,采访,是,N男N女,休闲装,舒缓,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7234333743271230464,2479.06,91.42,5.42,72.51,67.63,剧情,是,女,休闲装,舒缓,休息区（沙发、矮桌）,无,无,是,黑底花字无特效,女声配音,音效,正式口播,开户,开户便捷、快、线上,APP图标
7236214816460959744,1834.83,84.68,3.5,68.43,59.41,口播,是,女,休闲装,电子音乐（节奏感）,办公区,无,无,是,,,,正式口播,开户,紧迫感引导,APP图标
7259331955555840000,1726.38,506.72,1.06,30.93,19.07,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,正式口播,通用,开户便捷、快、线上,APP图标
7242627472867489792,1279.09,77.89,3.48,60.47,52.03,口播,是,女,休闲装,舒缓,街景,无,玩偶,否,,,,唱歌,开户,开户有优惠、服务好,开户界面
7230636144063609856,1264.71,49.1,3.7,60.05,58.6,口播,是,男,商务装,电子音乐（节奏感）,商场,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7241518436744590336,3345.43,144.7,14.91,57.5,62.82,口播,是,女,休闲装,舒缓,街景,无,无,否,,,,正式口播,通用,开户便捷、快、线上,开户界面
7244010118823690240,2698.47,160.02,2.06,11.54,9.18,口播,是,女,休闲装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,企微,开户有优惠、服务好,开户界面
7223658664845979648,2449.02,88.45,1.87,44.72,34.36,剧情,是,女,休闲装,舒缓,走廊,无,无,否,,,,正式口播,开户,开户有优惠、服务好,APP图标
7241518495233909760,2086.98,152.81,3.54,31.55,31.33,口播,是,女,休闲装,舒缓,街景,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7244010099072919552,1997.47,123.71,0.69,16.82,12.82,口播,是,女,休闲装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,企微,开户有优惠、服务好,开户界面
7259600888683540480,1766.3,123.3,0.96,25.85,16.31,剧情,是,N男N女,休闲装,电子音乐（节奏感）,商场,无,无,否,,,,夸张提问,企微,其他,真人口播画面
7242627467192580096,1633.74,19.45,31.85,83.24,81.99,口播,是,女,休闲装,舒缓,办公楼下,无,无,否,,,,正式口播,开户,开户有优惠、服务好,开户界面
7259977157429080064,1528.39,500.46,3.08,29.26,16.9,采访,是,女,商务装,舒缓,街景,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7262185895716830208,1485.19,94.2,2.7,3.24,6.48,采访,是,女,商务装,舒缓,居家（客厅、厨房、卧室）,无,无,否,,,,正式口播,开户,开户便捷、快、线上,真人口播画面
7230639151207430144,1443.11,17.24,4.11,94.63,94.58,口播,是,男,休闲装,舒缓,街景,无,无,否,,,,正式口播,开户,开户便捷、快、线上,APP图标
7223658651895069696,1334.62,1.84,3.93,96.57,96.24,采访,是,女,商务装,舒缓,休息区（沙发、矮桌）,无,无,否,,,,正式口播,开户,开户有优惠、服务好,APP图标
7252895716175389696,1118.36,138.38,0.89,28.16,12.26,口播,否,无,,电子音乐（节奏感）,绿幕,其他,无,是,黑底花字无特效,女声配音,抖音热歌,正式口播,开户,开户有优惠、服务好,开户界面
